accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.509843111038208,0.5061005353927612,0.876462459564209,0.8892215490341187,0.5,0.5884903073310852,9.999999747378752e-05
0.5219686031341553,0.49270328879356384,0.883599042892456,0.8892215490341187,0.5,0.4599173069000244,9.999999747378752e-05
0.4978601932525635,0.4967605769634247,0.8632036447525024,0.8892215490341187,0.6870507001876831,0.433857262134552,9.999999747378752e-05
0.4900142550468445,0.4979622960090637,0.8493210673332214,0.8892215490341187,0.6868787407875061,0.4122309982776642,9.999999747378752e-05
0.5208274126052856,0.5227149128913879,0.8301738500595093,0.8892215490341187,0.6967573761940002,0.402211993932724,9.999999747378752e-05
0.5082738995552063,0.512919545173645,0.8041809797286987,0.8892215490341187,0.6975157260894775,0.4200165867805481,9.999999747378752e-05
0.49415120482444763,0.5190083980560303,0.7995004057884216,0.8892215490341187,0.6601247787475586,0.41538697481155396,9.999999747378752e-05
0.5188302397727966,0.5022323131561279,0.8047118782997131,0.8892215490341187,0.6807109713554382,0.43109649419784546,9.999999747378752e-05
0.5149785876274109,0.5364553332328796,0.7809797525405884,0.8892215490341187,0.7200989127159119,0.4200553894042969,4.999999873689376e-05
0.5184022784233093,0.5103846788406372,0.8062592148780823,0.8892215490341187,0.7208218574523926,0.4277266263961792,4.999999873689376e-05
0.5007132887840271,0.53668612241745,0.7691431045532227,0.8892215490341187,0.7085924744606018,0.42059028148651123,4.999999873689376e-05
0.5142653584480286,0.48387157917022705,0.8198606967926025,0.8892215490341187,0.7072375416755676,0.43738454580307007,4.999999873689376e-05
